row,you_id,cpu_id,viewport,status
001,sample-d08,sample-d08,851x393,clean
002,sample-d08,sample-d11,desktop,clean-public-rerun-seed-unverifiable
003,sample-d08,deck-1784115364915,desktop,clean
004,sample-d08,deck-1784115404288,desktop,clean
005,sample-d08,deck-1784115417710,desktop,clean
006,sample-d08,deck-1784115431945,desktop,clean
007,sample-d08,deck-1784115445284,desktop,clean
008,sample-d08,deck-1785068468834,desktop,clean
009,sample-d08,deck-1785077234307,desktop,clean
010,sample-d08,deck-1785077473170,desktop,clean
011,sample-d11,sample-d11,desktop,clean
012,sample-d11,deck-1784115364915,desktop,clean
013,sample-d11,deck-1784115404288,desktop,clean
014,sample-d11,deck-1784115417710,desktop,clean
015,sample-d11,deck-1784115431945,desktop,clean-public-rerun-seed-unverifiable
016,sample-d11,deck-1784115445284,desktop,clean-public-seed-unverifiable
017,sample-d11,deck-1785068468834,desktop,clean-public-seed-unverifiable
018,sample-d11,deck-1785077234307,desktop,clean-public-seed-unverifiable
019,sample-d11,deck-1785077473170,desktop,clean-public-rerun-seed-unverifiable
020,deck-1784115364915,deck-1784115364915,desktop,clean-public-rerun-seed-unverifiable
021,deck-1784115364915,deck-1784115404288,desktop,clean-public-rerun-seed-unverifiable
022,deck-1784115364915,deck-1784115417710,desktop,clean-public-rerun-seed-unverifiable
023,deck-1784115364915,deck-1784115431945,desktop,clean-public-rerun-seed-unverifiable
024,deck-1784115364915,deck-1784115445284,desktop,clean
025,deck-1784115364915,deck-1785068468834,desktop,clean-public-seed-unverifiable
026,deck-1784115364915,deck-1785077234307,desktop,queued
027,deck-1784115364915,deck-1785077473170,desktop,queued
028,deck-1784115404288,deck-1784115404288,desktop,queued
029,deck-1784115404288,deck-1784115417710,desktop,queued
030,deck-1784115404288,deck-1784115431945,desktop,queued
031,deck-1784115404288,deck-1784115445284,desktop,queued
032,deck-1784115404288,deck-1785068468834,desktop,queued
033,deck-1784115404288,deck-1785077234307,desktop,queued
034,deck-1784115404288,deck-1785077473170,desktop,queued
035,deck-1784115417710,deck-1784115417710,desktop,queued
036,deck-1784115417710,deck-1784115431945,desktop,queued
037,deck-1784115417710,deck-1784115445284,desktop,queued
038,deck-1784115417710,deck-1785068468834,desktop,queued
039,deck-1784115417710,deck-1785077234307,desktop,queued
040,deck-1784115417710,deck-1785077473170,desktop,queued
041,deck-1784115431945,deck-1784115431945,desktop,queued
042,deck-1784115431945,deck-1784115445284,desktop,queued
043,deck-1784115431945,deck-1785068468834,desktop,queued
044,deck-1784115431945,deck-1785077234307,desktop,queued
045,deck-1784115431945,deck-1785077473170,desktop,queued
046,deck-1784115445284,deck-1784115445284,desktop,queued
047,deck-1784115445284,deck-1785068468834,desktop,queued
048,deck-1784115445284,deck-1785077234307,desktop,queued
049,deck-1784115445284,deck-1785077473170,desktop,queued
050,deck-1785068468834,deck-1785068468834,desktop,queued
051,deck-1785068468834,deck-1785077234307,desktop,queued
052,deck-1785068468834,deck-1785077473170,desktop,queued
053,deck-1785077234307,deck-1785077234307,desktop,queued
054,deck-1785077234307,deck-1785077473170,desktop,queued
055,deck-1785077473170,deck-1785077473170,desktop,queued
